2016-09-12 18:18:51,823 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x1571f2f6fa40000 type:create cxid:0x10c zxid:0x6fa txntype:-1 reqpath:n/a Error Path:/brokers/ids Error:KeeperErrorCode = NodeExists for /brokers/ids
2016-09-12 18:18:53,994 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@192] - Accepted socket connection from /127.0.0.1:60674
2016-09-12 18:18:54,005 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@928] - Client attempting to establish new session at /127.0.0.1:60674
2016-09-12 18:18:54,020 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@673] - Established session 0x1571f2f6fa40001 with negotiated timeout 6000 for client /127.0.0.1:60674
2016-09-12 18:18:55,058 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x1571f2f6fa40001 type:create cxid:0x1f zxid:0x73d txntype:-1 reqpath:n/a Error Path:/brokers Error:KeeperErrorCode = NodeExists for /brokers
2016-09-12 18:18:55,059 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x1571f2f6fa40001 type:create cxid:0x20 zxid:0x73e txntype:-1 reqpath:n/a Error Path:/brokers/ids Error:KeeperErrorCode = NodeExists for /brokers/ids
2016-09-12 18:18:56,197 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@192] - Accepted socket connection from /0:0:0:0:0:0:0:1:60677
2016-09-12 18:18:56,204 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@928] - Client attempting to establish new session at /0:0:0:0:0:0:0:1:60677
2016-09-12 18:18:56,206 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@673] - Established session 0x1571f2f6fa40002 with negotiated timeout 6000 for client /0:0:0:0:0:0:0:1:60677
2016-09-12 18:18:56,794 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x1571f2f6fa40002 type:create cxid:0x1f zxid:0x741 txntype:-1 reqpath:n/a Error Path:/brokers Error:KeeperErrorCode = NodeExists for /brokers
2016-09-12 18:18:56,795 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x1571f2f6fa40002 type:create cxid:0x20 zxid:0x742 txntype:-1 reqpath:n/a Error Path:/brokers/ids Error:KeeperErrorCode = NodeExists for /brokers/ids
